neighborhood,sale_quarter,num_sales,avg_sale_price,median_sale_price,qoq_price_change_pct
ALPHABET CITY,1,19,1185256.4736842106,700000.0,0.0
ALPHABET CITY,2,27,2199662.962962963,1100000.0,0.5714285714285714
ALPHABET CITY,3,31,1231051.2903225806,775000.0,-0.2954545454545454
ALPHABET CITY,4,35,7446987.971428571,1050000.0,0.35483870967741926
CHELSEA,1,115,4181724.947826087,1537500.0,0.0
CHELSEA,2,200,2839219.0,1250000.0,-0.1869918699186992
CHELSEA,3,219,3315478.287671233,1318634.0,0.054907199999999934
CHELSEA,4,172,2747576.7034883723,2016250.0,0.5290444505450338
CHINATOWN,1,10,1991801.0,1090000.0,0.0
CHINATOWN,2,29,1793278.3103448276,1339490.0,0.22888990825688071
CHINATOWN,3,17,1312418.294117647,800000.0,-0.4027577660154238
CHINATOWN,4,14,4912070.071428572,937549.5,0.1719368750000001
CIVIC CENTER,1,25,3867986.88,3100000.0,0.0
CIVIC CENTER,2,41,3591565.7073170734,2690000.0,-0.13225806451612898
CIVIC CENTER,3,49,3775842.6938775512,2500000.0,-0.07063197026022305
CIVIC CENTER,4,34,5345783.882352941,3358750.0,0.3434999999999999
CLINTON,1,33,4185770.606060606,899000.0,0.0
CLINTON,2,53,1437781.1509433961,990000.0,0.10122358175750845
CLINTON,3,56,1378942.2142857143,940000.0,-0.0505050505050505
CLINTON,4,72,2014607.013888889,1210585.0,0.2878563829787235
EAST VILLAGE,1,15,2631730.8666666667,1725000.0,0.0
EAST VILLAGE,2,40,3803304.3,1862500.0,0.07971014492753614
EAST VILLAGE,3,31,2082957.8709677418,1325000.0,-0.28859060402684567
EAST VILLAGE,4,59,3535049.0169491526,1400000.0,0.05660377358490565
FASHION,1,20,5105471.4,2344778.0,0.0
FASHION,2,34,5276330.617647059,2377500.0,0.013955265701059982
FASHION,3,26,3960842.269230769,1975177.5,-0.16922082018927442
FASHION,4,23,22313842.43478261,2255356.0,0.14184978312075747
FINANCIAL,1,91,1427868.4065934066,1215000.0,0.0
FINANCIAL,2,119,3051394.4033613447,1220671.0,0.004667489711934092
FINANCIAL,3,72,1787043.7777777778,1029750.0,-0.15640659932119305
FINANCIAL,4,57,1448079.3859649124,875000.0,-0.15027919397912115
FLATIRON,1,33,2023035.4545454546,1200000.0,0.0
FLATIRON,2,78,2901679.064102564,1875000.0,0.5625
FLATIRON,3,63,5660419.46031746,2200000.0,0.17333333333333334
FLATIRON,4,46,3270946.152173913,2055000.0,-0.06590909090909092
GRAMERCY,1,68,1742779.0147058824,1287500.0,0.0
GRAMERCY,2,120,2011790.6166666667,1075000.0,-0.16504854368932043
GRAMERCY,3,102,1429866.6764705882,964000.0,-0.10325581395348837
GRAMERCY,4,120,3335722.3333333335,1317500.0,0.36670124481327804
GREENWICH VILLAGE-CENTRAL,1,69,3820549.8985507246,1200000.0,0.0
GREENWICH VILLAGE-CENTRAL,2,137,2606024.8248175182,1795000.0,0.49583333333333335
GREENWICH VILLAGE-CENTRAL,3,125,2453423.736,1472500.0,-0.17966573816155984
GREENWICH VILLAGE-CENTRAL,4,125,4897779.496,1711000.0,0.1619694397283531
GREENWICH VILLAGE-WEST,1,66,4985851.212121212,2125000.0,0.0
GREENWICH VILLAGE-WEST,2,151,3731259.40397351,1370000.0,-0.35529411764705887
GREENWICH VILLAGE-WEST,3,106,4161759.8018867923,1740000.0,0.27007299270072993
GREENWICH VILLAGE-WEST,4,111,4148810.5045045046,1495000.0,-0.1408045977011494
HARLEM-CENTRAL,1,125,10194325.464,1662343.0,0.0
HARLEM-CENTRAL,2,125,2290321.384,873500.0,-0.4745368434793541
HARLEM-CENTRAL,3,114,1950043.2105263157,677500.0,-0.22438465941614194
HARLEM-CENTRAL,4,102,1419728.9019607843,652500.0,-0.03690036900369009
HARLEM-EAST,1,58,16141503.793103449,22500000.0,0.0
HARLEM-EAST,2,46,1001748.6739130435,710000.0,-0.9684444444444444
HARLEM-EAST,3,33,900869.2424242424,723000.0,0.018309859154929553
HARLEM-EAST,4,38,1064048.5263157894,565201.5,-0.21825518672199173
HARLEM-UPPER,1,153,3502155.901960784,2544410.0,0.0
HARLEM-UPPER,2,14,542589.2857142857,490125.0,-0.8073718465184463
HARLEM-UPPER,3,20,2951224.85,612000.0,0.2486610558530986
HARLEM-UPPER,4,27,748279.0,450000.0,-0.2647058823529411
HARLEM-WEST,2,3,400333.3333333333,391000.0,0.0
HARLEM-WEST,3,10,5757656.0,3825391.0,8.783608695652173
HARLEM-WEST,4,6,511341.5,460000.0,-0.8797508542264045
INWOOD,1,9,2852111.111111111,450000.0,0.0
INWOOD,2,24,6604853.416666667,473000.0,0.05111111111111111
INWOOD,3,31,1571996.322580645,895000.0,0.8921775898520083
INWOOD,4,21,597011.4285714285,410000.0,-0.541899441340782
JAVITS CENTER,1,16,11263003.125,5727125.0,0.0
JAVITS CENTER,2,21,4571484.523809524,5500000.0,-0.03965776895038964
JAVITS CENTER,3,20,4170834.0,2591969.0,-0.5287329090909091
JAVITS CENTER,4,12,8748182.25,6441750.0,1.48527277911117
KIPS BAY,1,44,2085154.7045454546,922500.0,0.0
KIPS BAY,2,63,1208001.6825396826,937500.0,0.016260162601626105
KIPS BAY,3,68,7226383.794117647,877500.0,-0.06399999999999995
KIPS BAY,4,59,1250619.9491525423,870000.0,-0.008547008547008517
LITTLE ITALY,1,7,4061857.1428571427,2750000.0,0.0
LITTLE ITALY,2,8,3596875.0,1750000.0,-0.36363636363636365
LITTLE ITALY,3,10,2589750.0,1762500.0,0.0071428571428571175
LITTLE ITALY,4,8,7260875.0,6050000.0,2.4326241134751774
LOWER EAST SIDE,1,69,3454408.84057971,1356309.0,0.0
LOWER EAST SIDE,2,101,1743455.693069307,1436048.0,0.058791175167310694
LOWER EAST SIDE,3,78,1342966.1923076923,1100000.0,-0.23400889106770806
LOWER EAST SIDE,4,94,1786491.7765957448,1178000.0,0.07090909090909081
MANHATTAN VALLEY,1,19,1038138.2631578947,976209.0,0.0
MANHATTAN VALLEY,2,30,950775.0,732000.0,-0.25016057012381565
MANHATTAN VALLEY,3,38,1043802.3684210526,773250.0,0.05635245901639352
MANHATTAN VALLEY,4,51,939566.0,775000.0,0.002263174911089516
MIDTOWN CBD,1,28,6084724.392857143,1409985.0,0.0
MIDTOWN CBD,2,43,5399343.7441860465,1650000.0,0.1702252151618635
MIDTOWN CBD,3,49,4718062.448979592,2250000.0,0.36363636363636354
MIDTOWN CBD,4,48,43540024.0,1437500.0,-0.36111111111111116
MIDTOWN EAST,1,133,1214127.6616541354,725000.0,0.0
MIDTOWN EAST,2,230,1507976.243478261,897500.0,0.23793103448275854
MIDTOWN EAST,3,251,1408587.310756972,763500.0,-0.14930362116991647
MIDTOWN EAST,4,249,2376160.670682731,723000.0,-0.05304518664047153
MIDTOWN WEST,1,92,5200470.684782608,1545000.0,0.0
MIDTOWN WEST,2,148,3203840.331081081,1074850.0,-0.30430420711974115
MIDTOWN WEST,3,151,10332112.390728477,1200000.0,0.11643485137461052
MIDTOWN WEST,4,177,14036635.327683616,1385000.0,0.15416666666666656
MORNINGSIDE HEIGHTS,1,7,1148799.4285714286,925000.0,0.0
MORNINGSIDE HEIGHTS,2,18,1330583.1666666667,635000.0,-0.31351351351351353
MORNINGSIDE HEIGHTS,3,55,12302230.909090908,4925000.0,6.755905511811024
MORNINGSIDE HEIGHTS,4,48,2227883.6666666665,1537500.0,-0.6878172588832487
MURRAY HILL,1,80,1760599.625,1075034.0,0.0
MURRAY HILL,2,137,2560610.583941606,999999.0,-0.06979779244191342
MURRAY HILL,3,127,2973496.1417322834,900000.0,-0.09999909999909995
MURRAY HILL,4,116,2048446.0172413792,943750.0,0.04861111111111116
ROOSEVELT ISLAND,1,5,907312.6,905000.0,0.0
ROOSEVELT ISLAND,2,11,1167679.3636363635,1212919.0,0.34024198895027635
ROOSEVELT ISLAND,3,8,1111000.0,1075000.0,-0.11370833501660049
ROOSEVELT ISLAND,4,1,2095000.0,2095000.0,0.9488372093023256
SOHO,1,41,5234219.414634147,2800000.0,0.0
SOHO,2,75,4647780.08,3385000.0,0.20892857142857135
SOHO,3,62,5876990.806451613,3730000.0,0.10192023633677993
SOHO,4,62,4809197.112903226,3425000.0,-0.08176943699731909
SOUTHBRIDGE,1,7,827571.4285714285,660000.0,0.0
SOUTHBRIDGE,2,23,1876195.652173913,885000.0,0.34090909090909083
SOUTHBRIDGE,3,20,1292700.0,742500.0,-0.1610169491525424
SOUTHBRIDGE,4,31,2028826.6129032257,910000.0,0.22558922558922556
TRIBECA,1,65,3063060.0,2080000.0,0.0
TRIBECA,2,165,4776312.927272728,2350000.0,0.1298076923076923
TRIBECA,3,198,2548900.797979798,1571451.0,-0.3312974468085106
TRIBECA,4,175,4969468.697142857,1795000.0,0.14225642415830975
UPPER EAST SIDE (59-79),1,201,5469406.129353234,1230000.0,0.0
UPPER EAST SIDE (59-79),2,413,2575697.0605326877,1200000.0,-0.024390243902439046
UPPER EAST SIDE (59-79),3,335,3481905.056716418,1275000.0,0.0625
UPPER EAST SIDE (59-79),4,360,3159350.3694444443,1266250.0,-0.006862745098039191
UPPER EAST SIDE (79-96),1,231,3548465.41991342,1620000.0,0.0
UPPER EAST SIDE (79-96),2,359,3184377.6378830085,1437500.0,-0.11265432098765427
UPPER EAST SIDE (79-96),3,346,2567294.7861271678,1225000.0,-0.14782608695652177
UPPER EAST SIDE (79-96),4,327,2449004.9755351683,1050000.0,-0.1428571428571429
UPPER EAST SIDE (96-110),1,11,698791.2727272727,640000.0,0.0
UPPER EAST SIDE (96-110),2,11,1882750.0,1225000.0,0.9140625
UPPER EAST SIDE (96-110),3,17,1836647.6470588236,860000.0,-0.2979591836734694
UPPER EAST SIDE (96-110),4,10,2287265.9,2422812.5,1.8172238372093021
UPPER WEST SIDE (59-79),1,167,2312505.3532934133,1190000.0,0.0
UPPER WEST SIDE (59-79),2,357,2446857.274509804,1410000.0,0.18487394957983194
UPPER WEST SIDE (59-79),3,308,1981248.9155844157,1200000.0,-0.14893617021276595
UPPER WEST SIDE (59-79),4,355,4686756.366197183,1275000.0,0.0625
UPPER WEST SIDE (79-96),1,121,3881509.0330578513,1999000.0,0.0
UPPER WEST SIDE (79-96),2,196,2918018.7346938774,1500000.0,-0.24962481240620316
UPPER WEST SIDE (79-96),3,219,2346998.2739726026,1310000.0,-0.1266666666666667
UPPER WEST SIDE (79-96),4,190,1995541.5736842104,1098250.0,-0.1616412213740458
UPPER WEST SIDE (96-116),1,34,1096413.5882352942,941500.0,0.0
UPPER WEST SIDE (96-116),2,96,2008340.8645833333,1246750.0,0.32421667551779065
UPPER WEST SIDE (96-116),3,81,1114999.87654321,799000.0,-0.35913374774413476
UPPER WEST SIDE (96-116),4,89,1260812.1573033708,998500.0,0.24968710888610768
WASHINGTON HEIGHTS LOWER,1,192,6024092.833333333,4837658.0,0.0
WASHINGTON HEIGHTS LOWER,2,26,932120.1538461539,525004.0,-0.8914755859136797
WASHINGTON HEIGHTS LOWER,3,17,1364063.0,620000.0,0.18094338328850834
WASHINGTON HEIGHTS LOWER,4,27,2022522.7037037036,640000.0,0.032258064516129004
WASHINGTON HEIGHTS UPPER,1,26,1380539.3076923077,537250.0,0.0
WASHINGTON HEIGHTS UPPER,2,36,709278.8055555555,490000.0,-0.08794788273615639
WASHINGTON HEIGHTS UPPER,3,49,1247844.612244898,604500.0,0.23367346938775513
WASHINGTON HEIGHTS UPPER,4,38,1189132.8684210526,525000.0,-0.13151364764267992
