property_type,sale_quarter,num_sales,avg_sale_price,median_sale_price,qoq_price_change_pct
commercial,1,28,37085830.35714286,15625000.0,0.0
commercial,2,35,25218726.942857143,8880000.0,-0.43167999999999995
commercial,3,41,18838857.926829267,12939500.0,0.45715090090090094
commercial,4,55,45681188.10909091,14500000.0,0.12059971405386616
coop/other,1,4,43209500.0,37675000.0,0.0
coop/other,2,6,17754457.166666668,8507169.5,-0.774195899137359
coop/other,3,7,37718407.0,16845257.0,0.9801247641768511
coop/other,4,6,3257978.8333333335,1523931.0,-0.9095335262620214
mixed-use,1,2399,3698529.4993747394,1515000.0,0.0
mixed-use,2,3612,2355893.630398671,1210000.0,-0.20132013201320131
mixed-use,3,3465,2736606.244155844,1102500.0,-0.08884297520661155
mixed-use,4,3421,3420124.6232095878,1124000.0,0.019501133786848035
residential,1,74,6076868.918918919,3675000.0,0.0
residential,2,155,5989247.109677419,3999900.0,0.0884081632653062
residential,3,99,7341227.111111111,3425000.0,-0.14372859321483034
residential,4,107,8949380.663551401,4000000.0,0.16788321167883202
